OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
1;No;SMB Small;Unassigned_SE;Ekerö;Stockholm;Dustin Sweden;1,3;0;1;No;4399;0,251134349;518;9999;1;No
2;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;1,8;0;0,320656;No;873,24;0,192604553;432;9999;1;No
3;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;16956;0,053654;No;22272;0,132617636;173;9999;2;No
4;Yes;Corporate;Jan Tufvander;Stockholm;Stockholm;Dustin Sweden;49,9;448601;0,607573;No;44568,89;0,100660573;4;9999;41;No
5;No;SMB Mid;Unassigned_NO;Oslo;Oslo;Dustin Norway;68;0;0;No;975,06;0,353403893;704;9999;1;No
6;No;SMB Small;Unassigned_SE;Umeå;Västerbotten;Dustin Sweden;1,8;0;0;No;8194;0,10240908;627;9999;2;No
7;No;SMB Small;Unassigned_SE;Östersund;Jämtland;Dustin Sweden;6,5;0;0,31197;No;36324;0,136975553;589;9999;7;No
8;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;0;No;8999;0,041625736;607;9999;1;No
9;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;15102;0,077282;No;47203,64;0,084457258;179;875;15;Yes
10;No;SMB Small;Unassigned_DK;Horsens;Midtjylland;Dustin Denmark;6,5;0;0,001645;No;53682,22;0,085731365;482;482;4;Yes
11;Yes;Corporate;Jan Tufvander;Solna;Stockholm;Dustin Sweden;379,6;3469604;0,354712;No;86938;0,129774782;4;9999;59;No
12;No;SMB Small;Unassigned_NO;Fredrikstad;Østfold;Dustin Norway;1,3;0;0,172613;No;7324,53;0,097923007;531;9999;3;No
13;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,3;0;1;No;3261,46;0,149577183;603;9999;1;No
14;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;-1;0;0,025568;No;12676,84;0,094148857;431;9999;2;No
15;Yes;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;30;326700;0,193656;No;398692,4;0,114375318;7;9999;34;No
16;No;SMB Mid;Unassigned_DK;Haderslev;Syddanmark;Dustin Denmark;1,8;17262;0,1553;No;6428,91;0,100010733;230;9999;2;No
17;Yes;SMB Large;Andreas Møller Rasmussen;København;Hovedstaden;Dustin Denmark;11,9;144466;0,035665;No;31341,93;0,093970282;74;9999;5;No
18;No;SMB Small;Unassigned_DK;Glostrup;Hovedstaden;Dustin Denmark;-1;9984;0;No;9942,54;0,018089945;25;9999;1;No
19;No;SMB Small;Unassigned_DK;Gladsaxe;Hovedstaden;Dustin Denmark;1,8;0;0,280686;No;871,72;0,10214289;607;9999;2;No
20;No;SMB Small;Unassigned_NO;Bergen;Hordaland;Dustin Norway;1,3;7059;0;No;4854,87;0,141756628;203;9999;1;No
21;No;SMB Small;Unassigned_SE;Härjedalen;Jämtland;Dustin Sweden;1,8;18828;0,068384;No;27024,01;0,110574263;5;452;6;Yes
22;No;SMB Mid;Mid - Segmentet;Ängelholm;Skåne;Dustin Sweden;-1;0;0,080881;No;294689,84;0,086489341;70;9999;33;No
23;No;SMB Small;Unassigned_SE;Gotland;Gotland;Dustin Sweden;6,5;0;0;No;2499;0,155318127;385;9999;1;No
24;No;SMB Small;William Ålhed;Täby;Stockholm;Dustin Sweden;1,3;15249;0;No;10642;0,067706258;74;9999;2;No
25;No;SMB Mid;Unassigned_DK;Fredensborg;Hovedstaden;Dustin Denmark;68;652120;0,320529;No;38038,68;0,129114102;243;9999;3;No
26;No;SMB Large;Jakob Bade;Hvidovre;Hovedstaden;Dustin Denmark;152,7;1464393;0,178919;No;352533,3;0,181856976;4;9999;164;No
27;No;SMB Mid;Mid - Segmentet;Borås;Västra Götaland;Dustin Sweden;43,4;472626;0,254514;No;554668,45;0,161934161;21;510;101;Yes
28;No;SMB Small;Unassigned_SE;Växjö;Kronoberg;Dustin Sweden;13,4;0;1;No;695;0,45323741;601;9999;1;No
29;No;SMB Small;Unassigned_SE;Linköping;Östergötland;Dustin Sweden;1,3;14157;0,55597;No;1340;0,289865672;242;9999;1;No
30;No;SMB Large;Unassigned_DK;Herlev;Hovedstaden;Dustin Denmark;30;759900;1;No;536,95;0,352975137;4;9999;1;No
31;No;SMB Small;Unassigned_DK;Rudersdal;Hovedstaden;Dustin Denmark;1,8;45594;0;No;2247,44;0,094009184;315;9999;1;No
32;Yes;SMB Small;Unassigned_SE;Vaggeryd;Jönköping;Dustin Sweden;1,8;19602;0,073733;No;14484,6;0,073369648;166;214;3;Yes
33;No;SMB Small;Unassigned_NO;Kongsvinger;Hedmark;Dustin Norway;13,4;141410,2;0;No;4920,77;0,045604651;348;9999;1;No
34;No;SMB Large;Morten Krogh;Herlev;Hovedstaden;Dustin Denmark;69,8;894138;0,072272;No;37425,37;0,069137593;174;9999;4;No
35;No;SMB Small;Daniel Orrnert;Solna;Stockholm;Dustin Sweden;1,8;19602;0;No;7241,72;0,048571334;258;9999;2;No
36;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0;No;16677;0,106529352;4;4;3;Yes
37;No;SMB Small;Unassigned_SE;Gävle;Gävleborg;Dustin Sweden;1,8;12024;1;No;796,76;0,279293639;300;9999;1;No
38;No;SMB Small;Unassigned_SE;Norberg;Västmanland;Dustin Sweden;1,8;0;0;No;3080,12;0,111119047;480;9999;1;No
39;No;SMB Small;Unassigned_NO;Bergen;Hordaland;Dustin Norway;1,8;9774;0;No;14149,18;0,097424727;334;9999;1;No
40;No;SMB Mid;Mid - Segmentet;Haninge;Stockholm;Dustin Sweden;30;200400;0,103569;No;232337,98;0,080821095;70;1000;23;Yes
41;No;SMB Small;Unassigned_SE;Karlshamn;Blekinge;Dustin Sweden;-1;0;0,238335;No;8367,2;0,130116407;357;9999;1;No
42;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;54535;0,164538;No;23338;0,123430457;22;9999;3;No
43;No;SMB Small;Unassigned_SE;Huddinge;Stockholm;Dustin Sweden;6,5;29692;0;No;7650,04;0,045547474;252;252;1;Yes
44;No;SMB Small;Unassigned_SE;Linköping;Östergötland;Dustin Sweden;1,8;18828;0,215376;No;1834;0,072977099;64;9999;1;No
45;No;SMB Small;Unassigned_SE;Vetlanda;Jönköping;Dustin Sweden;1,8;21114;0,149786;No;1402;0,238837375;335;9999;1;No
46;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;28678;0,032219;No;62043,72;0,0829644;202;9999;7;No
47;No;SMB Large;Unassigned_DK;Furesø;Hovedstaden;Dustin Denmark;13,4;128506;0,431103;No;357906,24;0,162357158;53;53;53;Yes
48;No;SMB Small;Unassigned_SE;Västerås;Västmanland;Dustin Sweden;1,8;0;0,586492;No;7492;0,120416444;690;690;4;Yes
49;No;SMB Small;Unassigned_SE;Vimmerby;Kalmar;Dustin Sweden;1,3;8684;0,269904;No;13527;0,156415318;130;9999;5;No
50;No;SMB Small;Unassigned_SE;Oskarshamn;Kalmar;Dustin Sweden;1,8;19602;0,687063;No;6586;0,192795323;260;9999;3;No
51;No;SMB Mid;Unassigned_NO;Hamar;Hedmark;Dustin Norway;1,8;22104;0,048386;No;25536,49;0,153530105;287;9999;3;No
52;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,8;0;0;No;1559;0,114887749;692;9999;1;No
53;No;SMB Large;Andreas Møller Rasmussen;Sønderborg;Syddanmark;Dustin Denmark;3,6;43704;0;No;1518,66;0,103920562;251;9999;1;No
54;No;SMB Large;Fredrik Dahlberg;Stockholm;Stockholm;Dustin Sweden;78,1;916113;0,377606;No;862066,31;0,157462783;5;9999;165;No
55;No;SMB Small;Unassigned_SE;Ånge;Västernorrland;Dustin Sweden;1,3;0;0,899578;No;10446,01;0,1186386;693;9999;1;No
56;No;SMB Small;Unassigned_DK;Slagelse;Sjælland;Dustin Denmark;30;0;0,241925;No;4540,99;0,121588024;516;9999;1;No
57;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;1,3;12376;0;No;12051,62;0,135931103;75;9999;1;No
58;Yes;SMB Mid;Unassigned_NO;Rygge;Østfold;Dustin Norway;1,8;40104;0,14947;No;283623,46;0,109801248;7;347;30;Yes
59;Yes;Public;Matias Lohtander;Espoo;Uusimaa;Dustin Finland;931,8;894184,02;0,154561;No;4595239,07;0,046650073;5;9999;17;No
60;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;0;No;599;0,135409015;391;9999;1;No
61;No;SMB Large;Claus Hartmann;Høje-Taastrup;Hovedstaden;Dustin Denmark;60;1519800;0,198509;No;167673,77;0,13724848;173;9999;37;No
62;Yes;Corporate;Corporate SE Online;Åmål;Västra Götaland;Dustin Sweden;30;351900;0,140333;No;233378,36;0,099651142;55;566;60;Yes
63;No;SMB Mid;Unassigned_DK;Hillerød;Hovedstaden;Dustin Denmark;6,5;62335;0,094464;No;46289,09;0,184712424;335;893;6;Yes
64;No;SMB Small;Unassigned_SE;Mjölby;Östergötland;Dustin Sweden;1,3;28678;0,495771;No;41200,4;0,186718333;26;9999;18;No
65;No;SMB Small;Unassigned_SE;Tomelilla;Skåne;Dustin Sweden;1,3;10270;0;No;2519;0,07373164;84;9999;1;No
66;No;SMB Small;Unassigned_SE;Kalix;Norrbotten;Dustin Sweden;1,8;0;0;No;3199;0,053732416;582;9999;1;No
67;No;SMB Small;Unassigned_SE;Enköping;Uppsala;Dustin Sweden;13,4;295604;0,083092;No;179462,23;0,091702583;46;9999;20;No
68;Yes;SMB Small;Unassigned_SE;Mjölby;Östergötland;Dustin Sweden;1,8;19602;0,456159;No;6283,09;0,185014062;250;9999;8;No
69;No;Corporate;Pasi Pelkonen;Raahe;Pohjois-Pohjanmaa;Dustin Finland;137;201266,7;1;No;5975,5;0,655374446;160;9999;14;No
70;No;SMB Small;Unassigned_SE;Haninge;Stockholm;Dustin Sweden;6,5;43420;0,207901;No;4670,47;0,187276655;193;9999;3;No
71;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;-1;16653;1;No;1544,83;0,228970178;333;9999;2;No
72;No;SMB Small;Unassigned_NO;Tromsø;Troms;Dustin Norway;-1;0;0,185438;No;3113,87;0,106478434;613;9999;1;No
73;No;SMB Small;Unassigned_SE;Falun;Dalarna;Dustin Sweden;1,3;14157;0,387005;No;4956;0,053274818;183;9999;2;No
74;No;SMB Small;Unassigned_SE;Borås;Västra Götaland;Dustin Sweden;1,8;21114;0,124312;No;2799,4;0,047295849;175;9999;1;No
75;No;SMB Small;Unassigned_NO;Tinn;Telemark;Dustin Norway;1,3;0;0;No;1287,01;0,213735713;629;9999;1;No
76;No;SMB Large;Ademir Smajic;Göteborg;Västra Götaland;Dustin Sweden;30;0;0,339062;No;31770;0,148962543;368;9999;4;No
77;Yes;Public;Rasmus Winther;Hjørring;Nordjylland;Dustin Denmark;1656,1;19361310;0,245075;No;8248682,32;0,043456623;12;438;342;Yes
78;No;SMB Small;Unassigned_SE;Strängnäs;Södermanland;Dustin Sweden;1,8;0;0;No;3509;0,051610145;683;9999;1;No
79;No;SMB Small;Unassigned_SE;Kinda;Östergötland;Dustin Sweden;1,8;0;0,018698;No;39790;0,07409902;505;9999;4;No
80;No;SMB Small;Unassigned_DK;Lejre;Sjælland;Dustin Denmark;1,3;0;0,431591;No;1848,6;0,271724548;522;9999;2;No
81;No;SMB Mid;Mid LRHF;Malmö;Skåne;Dustin Sweden;30;0;0,04866;No;205218;0,106297108;392;701;10;Yes
82;No;SMB Small;Unassigned_SE;Vårgårda;Västra Götaland;Dustin Sweden;1,8;15102;0,362669;No;19282;0,053124676;277;9999;3;No
83;No;SMB Small;Unassigned_SE;Sundsvall;Västernorrland;Dustin Sweden;1,8;19602;0,017062;No;30416,7;0,108231991;280;9999;2;No
84;Yes;Corporate;Victor Andersson;Stockholm;Stockholm;Dustin Sweden;-1;0;0,135666;No;194069,72;0,136390571;396;9999;21;No
85;Yes;SMB Mid;Unassigned_DK;Rudersdal;Hovedstaden;Dustin Denmark;1,3;16653;0,38396;No;757171,52;0,125048311;263;879;195;Yes
86;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;8,3;86071;0,046748;No;23509;0,143259177;54;54;3;Yes
87;No;SMB Small;Unassigned_DK;Favrskov;Midtjylland;Dustin Denmark;30;230400;0;No;2876,48;0,321406719;342;9999;3;No
88;No;SMB Small;Unassigned_SE;Eksjö;Jönköping;Dustin Sweden;1,8;0;0;No;6597;0,078120358;358;9999;4;No
89;No;SMB Small;Unassigned_SE;Mora;Dalarna;Dustin Sweden;68;454240;0,699766;No;3857;0,188086596;204;9999;3;No
90;Yes;Corporate;Victor Lidbom;Karlskrona;Blekinge;Dustin Sweden;68;1500080;0,072817;No;461914,88;0,086300143;1;553;62;Yes
91;No;SMB Small;Unassigned_SE;Kristianstad;Skåne;Dustin Sweden;1,3;14157;0,243285;No;81818,33;0,117202343;34;589;16;Yes
92;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;0;0,145857;No;105233;0,114221299;544;9999;6;No
93;No;SMB Small;Unassigned_SE;Götene;Västra Götaland;Dustin Sweden;1,8;16182;0;No;519;0,096339114;295;295;1;Yes
94;No;SMB Small;Unassigned_SE;Ale;Västra Götaland;Dustin Sweden;1,8;21114;0,351501;No;8651,46;0,158956985;264;9999;8;No
95;No;SMB Large;Jakob Bade;Høje-Taastrup;Hovedstaden;Dustin Denmark;13,4;339422;0,375254;No;75691,66;0,165957386;118;1050;11;Yes
96;No;SMB Small;Unassigned_SE;Kungälv;Västra Götaland;Dustin Sweden;13,4;112426;0;No;9444;0,103422279;235;235;1;Yes
97;No;SMB Mid;Mid - Segmentet;Sollentuna;Stockholm;Dustin Sweden;13,4;120466;0,229415;No;75566;0,161285631;1;786;28;Yes
98;No;SMB Mid;Mid LRLF;Malmö;Skåne;Dustin Sweden;30;0;0,354025;No;3093;0,189647591;462;9999;2;No
99;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;61230;0,049021;No;98527,89;0,097580898;33;33;21;Yes
100;No;SMB Small;Unassigned_SE;Sollentuna;Stockholm;Dustin Sweden;3,6;14475,6;0,024887;No;5987;0,073484216;204;9999;1;No
101;No;SMB Small;Unassigned_SE;Örebro;Örebro;Dustin Sweden;1,8;0;0;No;10758;0,045218442;498;9999;2;No
102;No;SMB Small;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;0;No;648,46;0,101378651;11;9999;1;No
103;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;6,5;62335;0,307905;No;139509,35;0,126181148;78;9999;33;No
104;No;SMB Small;Unassigned_SE;Bollnäs;Gävleborg;Dustin Sweden;1,3;28678;0,074941;No;64010,05;0,124899293;22;9999;14;No
105;Yes;Public;Ruslan Arakelian;Göteborg;Västra Götaland;Dustin Sweden;73,4;691428;0,72362;No;138610,68;0,059124088;155;9999;2;No
106;No;SMB Mid;Unassigned_NO;Oslo;Oslo;Dustin Norway;68;505240;0,153069;No;27856,54;0,141296801;54;9999;11;No
107;No;SMB Small;Unassigned_NO;Askøy;Hordaland;Dustin Norway;1,3;3434,6;0,321044;No;16383,36;0,254253096;295;9999;3;No
108;Yes;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;13,4;112426;0,138233;No;112522,83;0,108289225;8;8;10;Yes
109;No;SMB Small;Unassigned_SE;Skövde;Västra Götaland;Dustin Sweden;1,8;19602;1;No;139;0,091294964;222;9999;1;No
110;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;0,013503;No;18144,01;0,097024307;645;666;2;Yes
111;Yes;Corporate;Daniel Källberg;Jönköping;Jönköping;Dustin Sweden;30;251700;0,016518;No;12047;0,044488254;518;9999;1;No
112;No;SMB Small;Unassigned_SE;Lund;Skåne;Dustin Sweden;1,8;39708;0,126995;No;21575,6;0,110823801;334;9999;2;No
113;No;SMB Small;Marcelo Paullo;Karlshamn;Blekinge;Dustin Sweden;1,8;19602;0,115432;No;73515,06;0,118552444;182;621;7;Yes
114;No;SMB Mid;Mid HRHF;Alingsås;Västra Götaland;Dustin Sweden;30;251700;0,117134;No;917496,17;0,114690397;1;9999;108;No
115;No;SMB Small;Unassigned_SE;Hagfors;Värmland;Dustin Sweden;6,5;61230;0,06246;No;9382;0,089709017;243;400;4;Yes
116;No;SMB Small;Markus Sköldebo;Stockholm;Stockholm;Dustin Sweden;6,5;70785;0,715117;No;99347,37;0,233509352;173;9999;16;No
117;No;SMB Small;Unassigned_DK;Kolding;Syddanmark;Dustin Denmark;1,8;0;0,014988;No;6505,73;0,064081971;595;9999;2;No
118;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,3;16653;1;No;5820,45;0,202075441;111;9999;2;No
119;No;SMB Small;Unassigned_SE;Gnosjö;Jönköping;Dustin Sweden;1,8;14220;0,105184;No;30898;0,055274451;13;9999;3;No
120;No;SMB Small;Unassigned_DK;Ikast-Brande;Midtjylland;Dustin Denmark;6,5;62335;0,119656;No;68789,22;0,112105938;1;9999;18;No
121;No;Corporate;Pekka Vuorio;Jyväskylä;Keski-Suomi;Dustin Finland;30;0;0,251456;No;41923,68;0,195253613;543;9999;4;No
122;No;SMB Small;Unassigned_NO;Asker;Akershus;Dustin Norway;30;205500;0;No;1693,09;0,170333532;236;9999;1;No
123;No;SMB Small;Unassigned_SE;Vara;Västra Götaland;Dustin Sweden;1,3;15249;0,168641;No;23232,71;0,065693154;231;9999;6;No
124;No;SMB Small;Unassigned_SE;Nacka;Stockholm;Dustin Sweden;1,8;0;0,111123;No;8819;0,069100805;581;9999;2;No
125;No;SMB Large;Unassigned_DK;Rebild;Nordjylland;Dustin Denmark;13,4;171654;0,109225;No;15569,11;0,057558203;330;9999;1;No
126;Yes;Public;Andreas Braderup Klinge;Oslo;Oslo;Dustin Norway;1569,8;19267370;0;No;14352,81;0,096676539;347;9999;1;No
127;No;SMB Small;Unassigned_NO;Spitsbergen;Svalbard;Dustin Norway;-1;0;0,584818;No;2204,36;0,354579107;608;9999;2;No
128;No;SMB Small;Unassigned_SE;Skinnskatteberg;Västmanland;Dustin Sweden;1,8;0;0,164397;No;6758;0,093119266;610;9999;3;No
129;No;SMB Small;Unassigned_SE;Kalmar;Kalmar;Dustin Sweden;1,8;39708;0,097221;No;247138,9;0,117659624;15;9999;13;No
130;No;SMB Small;Unassigned_SE;Luleå;Norrbotten;Dustin Sweden;1,8;15102;0,281325;No;3743;0,148784398;265;9999;2;No
131;No;SMB Small;Unassigned_SE;Färgelanda;Västra Götaland;Dustin Sweden;1,8;19602;0,019482;No;30745,76;0,063712525;77;9999;3;No
132;Yes;SMB Large;Andreas Møller Rasmussen;København;Hovedstaden;Dustin Denmark;19,9;241586;0,084951;No;19978,35;0,091174697;279;9999;4;No
133;No;SMB Mid;Mid - Segmentet;Borås;Västra Götaland;Dustin Sweden;13,4;89512;0,332093;No;16697,1;0,259907409;61;9999;10;No
134;No;Corporate;Tommy Nilsen;Nittedal;Akershus;Dustin Norway;13,4;99562;0,415256;No;52610,21;0,175944555;40;9999;22;No
135;No;SMB Small;Unassigned_DK;Albertslund;Hovedstaden;Dustin Denmark;1,3;5905,9;0,152829;No;14256,35;0,112479702;305;9999;3;No
136;No;SMB Mid;Mid - Segmentet;Göteborg;Västra Götaland;Dustin Sweden;56,8;621508;0,220557;No;159371,07;0,117909731;13;9999;57;No
137;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;14157;0;No;1139;0,039508341;190;190;1;Yes
138;No;SMB Small;Unassigned_DK;Silkeborg;Midtjylland;Dustin Denmark;1,8;0;1;No;3478,44;0,16718414;406;9999;1;No
139;No;SMB Mid;Mid LRHF;Göteborg;Västra Götaland;Dustin Sweden;30;200400;0,22323;No;61241,76;0,117628723;287;704;16;Yes
140;No;SMB Small;Unassigned_DK;Aabenraa;Syddanmark;Dustin Denmark;13,4;128506;0,019823;No;8911,34;0,061830207;96;9999;2;No
141;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;70785;0,598139;No;16665;0,250573657;27;9999;8;No
142;No;SMB Small;Unassigned_SE;Sollefteå;Västernorrland;Dustin Sweden;13,4;112426;0,317464;No;97362,12;0,134286825;223;9999;20;No
143;No;SMB Small;Unassigned_SE;Älvsbyn;Norrbotten;Dustin Sweden;30;326700;0,547607;No;88357;0,178497799;244;404;12;Yes
144;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;0;No;2599;0,018603309;670;9999;3;No
145;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;-1;0;0,305547;No;9985,89;0,088281565;433;9999;3;No
146;No;SMB Mid;Mid - Segmentet;Kungsbacka;Halland;Dustin Sweden;30;351900;0,822587;No;8440,68;0,026994271;34;9999;9;No
147;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,8;20767,54;0,075508;No;246190,16;0,132387541;68;251;19;Yes
148;No;Public;Rasmus Winther;Sorø;Sjælland;Dustin Denmark;16641,3;170224317;0,046846;No;60567,13;0,127049111;182;272;10;Yes
149;Yes;SMB Large;Ole Petter Eriksen;Bergen;Hordaland;Dustin Norway;1,3;0;0,095406;No;26660,1;0,119639461;664;9999;4;No
150;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;11687;0,027022;No;21241,84;0,081849312;11;9999;3;No
151;No;SMB Small;Unassigned_SE;Lerum;Västra Götaland;Dustin Sweden;1,3;13138,77;0,480739;No;75392,2;0,172801696;19;9999;8;No
152;No;SMB Small;Unassigned_SE;Gävle;Gävleborg;Dustin Sweden;6,5;70785;0,1385;No;78050,17;0,096384031;348;9999;10;No
153;No;SMB Small;NON Portfolio DK PRIME;Odense;Syddanmark;Dustin Denmark;1,3;16653;0,112995;No;18115,8;0,120791243;56;9999;6;No
154;No;SMB Small;Unassigned_DK;Aalborg;Nordjylland;Dustin Denmark;1,8;18468;0;No;3697,51;0,119423612;351;9999;1;No
155;No;SMB Small;Unassigned_DK;Ringsted;Sjælland;Dustin Denmark;1,8;0;0,162387;No;1693,79;0,111170806;624;624;2;Yes
156;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;1,3;0;1;No;156,44;0,301904884;523;9999;1;No
157;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;-1;0;0,08202;No;1524;0,191850394;229;9999;1;No
158;No;SMB Mid;Unassigned_DK;Herlev;Hovedstaden;Dustin Denmark;30;287700;0,376095;No;240051,62;0,178019628;5;771;65;Yes
159;No;SMB Large;Nathalie Omre;Stockholm;Stockholm;Dustin Sweden;6,5;54535;0,250729;No;12750,8;0,110698937;61;9999;2;No
160;No;SMB Small;Unassigned_SE;Avesta;Dalarna;Dustin Sweden;6,5;0;0,190609;No;14821,02;0,120667808;407;9999;2;No
161;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;10907;0,017792;No;88857,36;0,084714311;69;9999;11;No
162;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;103,1;0;1;No;7945;0,201768408;397;9999;1;No
163;No;SMB Small;Unassigned_DK;Esbjerg;Syddanmark;Dustin Denmark;1,3;16653;1;No;5718,53;0,201100633;5;9999;2;No
164;No;SMB Small;Unassigned_SE;Helsingborg;Skåne;Dustin Sweden;1,8;15102;0,042571;No;37772;0,11796966;236;690;4;Yes
165;No;SMB Mid;Mid - Segmentet;Grästorp;Västra Götaland;Dustin Sweden;13,4;148204;0,206376;No;21310,6;0,171279551;238;295;8;Yes
166;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;13,4;145926;0,11935;No;363391,91;0,103655967;8;302;53;Yes
167;No;SMB Small;Unassigned_SE;Håbo;Uppsala;Dustin Sweden;6,5;76245;0,376913;No;116345;0,139397224;77;9999;30;No
168;Yes;SMB Small;Unassigned_SE;Örnsköldsvik;Västernorrland;Dustin Sweden;1,8;19602;0;No;11097;0,020854285;313;9999;1;No
169;No;SMB Small;Unassigned_SE;Värnamo;Jönköping;Dustin Sweden;1,8;0;0,858558;No;6356;0,157150724;564;9999;1;No
170;No;SMB Small;Unassigned_DK;Aalborg;Nordjylland;Dustin Denmark;1,8;45594;0,344997;No;56010,55;0,11740074;36;9999;8;No
171;No;SMB Mid;NON Portfolio DK SMB;Haderslev;Syddanmark;Dustin Denmark;76,3;731717;1;No;202,22;0,389427356;211;9999;1;No
172;No;SMB Small;Unassigned_SE;Örnsköldsvik;Västernorrland;Dustin Sweden;1,8;0;0,366235;No;8044;0,12862009;502;9999;2;No
173;No;Public;Rasmus Winther;København;Hovedstaden;Dustin Denmark;770;7808542,6;0,257943;No;81619,71;0,093018218;15;9999;17;No
174;No;SMB Small;Unassigned_DK;Svendborg;Syddanmark;Dustin Denmark;13,4;0;0,86696;No;7927,79;0,200050708;525;9999;3;No
175;No;SMB Small;Unassigned_SE;Boden;Norrbotten;Dustin Sweden;1,8;12024;0,296059;No;8147;0,122499079;151;9999;2;No
176;No;SMB Small;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;0;No;861045,5;0,047440582;18;9999;1;No
177;No;SMB Small;Unassigned_SE;Partille;Västra Götaland;Dustin Sweden;1,8;19602;0;No;804;0,303681592;40;505;2;Yes
178;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,3;0;0;No;14071;0,129844361;645;684;3;Yes
179;No;SMB Mid;Mid HRHF;Tibro;Västra Götaland;Dustin Sweden;30;351900;0,38923;No;27986;0,188681126;334;9999;12;No
180;No;SMB Small;Unassigned_SE;Upplands Väsby;Stockholm;Dustin Sweden;1,8;0;0,342062;No;7446;0,114114961;704;9999;1;No
181;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,8;0;0;No;6339;0,039064521;427;9999;1;No
182;No;SMB Small;Unassigned_DK;Bornholm;Hovedstaden;Dustin Denmark;1,3;16653;0,359774;No;1663,71;0,12467317;358;9999;1;No
183;No;SMB Small;Unassigned_SE;Malung-Sälen;Dalarna;Dustin Sweden;1,3;0;0;No;5465,72;0,082803364;441;441;1;Yes
184;No;SMB Small;Unassigned_DK;Stevns;Sjælland;Dustin Denmark;13,4;128506;0;No;12850,53;0,120496976;237;9999;1;No
185;Yes;SMB Large;SMB SE Pool;Eskilstuna;Södermanland;Dustin Sweden;30;351900;0,097447;No;260431,71;0,08756929;18;9999;47;No
186;Yes;Public;Erik Markusson;Kalmar;Kalmar;Dustin Sweden;7611,2;68674149,97;0,073211;No;42934480,52;0,019570983;1;6;1721;Yes
187;No;SMB Small;Unassigned_NO;Haugesund;Rogaland;Dustin Norway;1,8;22104;0,063918;No;28003,16;0,154714325;8;9999;8;No
188;No;SMB Small;Unassigned_SE;Skövde;Västra Götaland;Dustin Sweden;6,5;70785;0,160873;No;60575,4;0,127618637;75;692;6;Yes
189;No;SMB Small;Unassigned_SE;Kristianstad;Skåne;Dustin Sweden;1,3;14157;0,191563;No;5429;0,123184749;32;9999;2;No
190;No;SMB Small;Unassigned_SE;Kungälv;Västra Götaland;Dustin Sweden;1,8;0;0,145773;No;31981,2;0,119091216;441;9999;5;No
