OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
4699;No;SMB Mid;Mid - Segmentet;Not Defined;Not Defined;Dustin Sweden;-1;0;0,166072;No;127047,03;0,117643443;552;552;19;Yes
4700;No;SMB Mid;Unassigned_DK;København;Hovedstaden;Dustin Denmark;30;287700;0,193755;No;19778,82;0,158565071;13;459;6;Yes
4701;No;SMB Small;Unassigned_SE;Nacka;Stockholm;Dustin Sweden;6,5;0;0,220965;No;8137;0,073006022;405;9999;2;No
4702;No;SMB Small;Unassigned_SE;Ovanåker;Gävleborg;Dustin Sweden;1,3;29432;0,026506;No;11280,4;0,097259849;301;9999;2;No
4703;No;SMB Mid;Mid - Segmentet;Stockholm;Stockholm;Dustin Sweden;68;740520;0,175406;No;73132,95;0,132512363;84;9999;15;No
4704;Yes;SMB Mid;Mid LRHF;Järfälla;Stockholm;Dustin Sweden;43,4;509082;0,24789;No;141137,92;0,115237634;64;572;23;Yes
4705;No;SMB Small;Unassigned_DK;Not Defined;Not Defined;Dustin Denmark;221;0;0;No;2350,74;0,163242213;7;9999;1;No
4706;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;12024;0,234108;No;22575;0,192411517;232;9999;6;No
4707;No;SMB Mid;Unassigned_DK;København;Hovedstaden;Dustin Denmark;30;406200;0,122814;No;45644,36;0,104752263;147;9999;11;No
4708;Yes;SMB Mid;Unassigned_DK;København;Hovedstaden;Dustin Denmark;30;305400;0,486761;No;200496,35;0,139565633;209;764;64;Yes
4709;No;SMB Mid;Mid - Segmentet;Karlstad;Värmland;Dustin Sweden;98;1149540;0,31158;No;526677,26;0,129616988;33;175;43;Yes
4710;No;SMB Small;Unassigned_SE;Värnamo;Jönköping;Dustin Sweden;1,8;0;0;No;12198,01;0,039369537;664;9999;2;No
4711;No;SMB Mid;Unassigned_NO;Drammen;Buskerud;Dustin Norway;30;227100;0,205861;No;4950,66;0,157415375;53;9999;3;No
4712;Yes;SMB Small;SMB SE Pool;Nacka;Stockholm;Dustin Sweden;1,3;13598;0,175524;No;43529,84;0,127359531;53;533;11;Yes
4713;No;SMB Small;Unassigned_SE;Gotland;Gotland;Dustin Sweden;1,8;12024;0,127436;No;11441;0,206380561;49;9999;5;No
4714;Yes;Corporate;Jan Tufvander;Solna;Stockholm;Dustin Sweden;2116,8;19087032;0,336774;No;116978,36;0,116562328;4;9999;66;No
